#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-10-08 17:47:11.377

Channel 1 (V),Channel 2 (V)
-0.01018243939188582,-0.4711743917128235
-0.009838586418432146,-0.4711743917128235
-0.009838586418431678,-0.4711743917128235
-0.009838586418431678,-0.4711743917128235
-0.009838586418431678,-0.4749751942163783
-0.009838586418431678,-0.4749751942163817
-0.009494733444977536,-0.47877599671994
-0.009150880471523548,-0.47877599671994
-0.009494733444977223,-0.47877599671994
-0.00983858641843121,-0.47877599671994
-0.009838586418431678,-0.4825767992234982
-0.01018243939188567,-0.4825767992234982
-0.01052629236533965,-0.4825767992234982
-0.01018243939188629,-0.4825767992234982
-0.01052629236533996,-0.4825767992234982
-0.01018243939188598,-0.4863776017270547
-0.01018243939188582,-0.4863776017270564
-0.01018243939188582,-0.4863776017270564
-0.01018243939188582,-0.4863776017270564
-0.01018243939188582,-0.4863776017270564
-0.009838586418431834,-0.4863776017270564
-0.01018243939188551,-0.4901784042306112
-0.009494733444977536,-0.4901784042306147
-0.009494733444977536,-0.4901784042306147
-0.009838586418431522,-0.4939792067341711
-0.01018243939188551,-0.4939792067341728
-0.01018243939188598,-0.4939792067341746
-0.01052629236533996,-0.4977800092377311
-0.01052629236533996,-0.4977800092377311
-0.01052629236533996,-0.4977800092377311
-0.01052629236533996,-0.4977800092377311
-0.01052629236533996,-0.5015808117412893
-0.01052629236533996,-0.5015808117412893
-0.01052629236533996,-0.5053816142448441
-0.01052629236533996,-0.5053816142448475
-0.01052629236533996,-0.5053816142448475
-0.01052629236533996,-0.5053816142448475
-0.01018243939188613,-0.5053816142448475
-0.009838586418432146,-0.5053816142448475
-0.009838586418431678,-0.5091824167484058
-0.01018243939188567,-0.5091824167484058
-0.01052629236533965,-0.5091824167484058
-0.01087014533879364,-0.5091824167484058
-0.01087014533879411,-0.5091824167484058
-0.01087014533879411,-0.5129832192519622
-0.01087014533879411,-0.512983219251964
-0.01087014533879411,-0.512983219251964
-0.01087014533879411,-0.512983219251964
-0.01052629236534012,-0.5167840217555204
-0.01052629236533996,-0.5167840217555222
-0.01052629236533996,-0.5167840217555222
-0.01052629236533996,-0.5205848242590805
