#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-12-07 16:08:38.547

Frequency (Hz),Channel 1 (dBV),Channel 2 (dBV)
0.59,-65.07180546350482,-95.86120242532731
0.592,-65.24734193444101,-92.76032541649705
0.594,-65.54089650338214,-88.69130974962913
0.596,-68.79698782774382,-88.73864140862466
0.598,-69.68361583696704,-85.53585516365557
0.6,-62.97044683910219,-83.93815140979584
0.602,-64.64117778852369,-85.74805812971215
0.604,-77.20224959948557,-100.1499105005912
0.606,-66.91855012680819,-89.54362275079379
0.608,-65.01696419093417,-85.8666179393208
0.61,-67.52532114265807,-83.48696477990616
0.612,-66.88180750558155,-81.40011947050385
0.614,-64.55799038248398,-80.37965662864652
0.616,-65.07816263050421,-80.52671586619527
0.618,-64.14013083892154,-80.6758920408499
0.62,-81.64004804039088,-81.47678412651666
0.622,-67.18976411242829,-83.60013267455992
0.624,-68.70722474373252,-84.98829361960694
0.626,-66.91425483165156,-86.06058516175341
0.628,-60.4561469396366,-92.30454370103124
0.63,-60.94317141614999,-95.86523939372314
0.632,-64.76892521888941,-87.82317788922558
0.634,-59.00062711257107,-83.31624435190861
0.636,-59.14564509522919,-82.83674783700872
0.638,-61.77417091953374,-83.07988954986379
0.64,-60.35307205926816,-81.14101393014539
0.642,-61.43985293265864,-79.81343741695353
0.644,-62.50279885159941,-80.89420296143726
0.646,-63.18058488623858,-84.93570027263998
0.648,-61.5019702543927,-91.70601341811178
0.65,-60.36233989541012,-90.6757737942315
0.652,-60.47751300124268,-86.05562467558251
0.654,-61.44462870439828,-86.48521982166976
0.656,-59.12041637501149,-88.15639541981446
0.658,-63.04665816269696,-90.33072446272027
0.66,-62.45245902572861,-89.06690124685005
0.662,-61.69548308279848,-82.71601535385516
0.664,-65.56519348687522,-80.92102057850205
0.666,-65.31508090791986,-82.09208762453434
0.668,-62.76071059468595,-83.28115180119836
0.67,-63.91095304436116,-84.26334706713371
0.672,-63.47198712487792,-82.84302034174046
0.674,-61.80081045177954,-82.50098977226563
0.676,-61.93378284364349,-84.75355671842662
0.678,-62.56887804097774,-80.24260955300124
0.68,-63.07904237692522,-78.71228340225545
0.6820000000000001,-62.27973317466965,-78.6738534875463
0.6840000000000001,-60.42267647635603,-78.98867924429261
0.6860000000000001,-62.89434602693235,-81.93396104893849
0.6879999999999999,-64.80651941217549,-85.86252931672757
0.6899999999999999,-64.60514481315188,-83.45364239422179
0.6919999999999999,-64.3677802162595,-81.45570294155492
0.694,-64.62209907689025,-82.01120011224316
0.696,-68.49748847946199,-82.97984728684887
0.698,-88.31724083117338,-83.26147012959831
0.7,-77.72910887952447,-83.6886350303739
0.702,-68.41531152776425,-84.429238766948
0.704,-65.66526636586286,-86.060396738264
0.706,-67.8976523518438,-86.11359664950326
0.708,-62.7445077422317,-84.54440386712746
0.71,-62.01818278255566,-83.98531539123763
0.712,-76.91414459089521,-83.91359584491872
0.714,-66.71501142948316,-86.53507824923818
0.716,-66.54277704387488,-93.21654722916223
0.718,-66.60917148485052,-89.37135990605002
0.72,-60.65832467373578,-88.20229874129666
0.722,-58.97925946317523,-85.2176353963203
0.724,-60.0953341757439,-82.74128192341641
0.726,-59.99140849579081,-82.07355980057307
0.728,-61.7593232574685,-82.07477182291396
0.73,-62.39395731180218,-82.3305044773935
0.732,-59.5205963997909,-82.6049829641702
0.734,-59.97775277191788,-84.03346004593087
0.736,-60.48221814466977,-86.73018395824811
0.738,-59.15844843669181,-88.23647770087568
0.74,-59.6430319075429,-87.80337739026892
0.742,-58.98055945007046,-85.6789673941158
0.744,-60.04601525801723,-84.10561782739057
0.746,-60.25915575838619,-84.18790777489176
0.748,-63.12600805449664,-82.99057178065584
0.75,-60.55171230069504,-83.4028982602299
0.752,-61.55079265878467,-84.32518716834574
0.754,-63.18347474669029,-82.29724051987293
0.756,-61.25486966862234,-81.41897269164608
0.758,-64.55451868475548,-79.36322569072196
0.76,-68.60848102530986,-77.65792288858948
0.762,-67.32729258998597,-76.05896535543542
0.764,-67.4055154397189,-77.20552976270852
0.766,-63.55328825733628,-80.18545589398057
0.768,-63.644258526382,-82.23128316728082
0.77,-67.19071764565044,-86.32781602088582
0.772,-61.87751206181386,-93.64755369024819
0.774,-59.89010428264794,-99.52629831057409
0.776,-62.78508796065707,-92.13831023811156
0.778,-61.88675375925996,-88.66075878115086
0.78,-61.2176417635124,-90.47927071352413
0.782,-62.27293861856911,-95.25988906909895
0.784,-61.50867426098925,-89.17175410411217
0.786,-62.0844375129622,-86.57142887843536
0.788,-59.80051404803491,-85.78759049462904
0.79,-58.66666483823675,-86.69177963937072
0.792,-58.38650540952061,-89.44171354834921
0.794,-59.26457613164673,-90.70516481065704
