#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AC1D4D,,,,,
#Date Time: 2020-10-28 18:30:21.431,,,,,
#Sample rate: 160000Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Triangle,,,,,
#Frequency: 100 Hz,,,,,
#Period: 10 ms,,,,,
#Amplitude: 1 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 50 %,,,,,
#Phase: 0 ¡Æ,,,,,
#Wavegen Channel 2: Running,,,,,
#Mode: Simple,,,,,
#Type: DC,,,,,
#Offset: 3 V,,,,,
#Power Supplies: ON,,,,,
#Positive Supply: ON,,,,,
#Voltage: 4 V,,,,,
#Negative Supply: ON,,,,,
#Voltage: -4 V,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),average1,timeaverage,
-0.025920833,0.648873628,0.555186475,0.627882209,-0.025889583,-660.713522
-0.025914583,0.641302952,0.556568772,0.623752749,-0.025883333,-605.6540618
-0.025908333,0.637517614,0.558987792,0.619967412,-0.025877083,-550.5946017
-0.025902083,0.637517614,0.561752387,0.616526195,-0.025870833,-605.6540618
-0.025895833,0.633732277,0.564171407,0.612740857,-0.025864583,-660.713522
-0.025889583,0.629946939,0.566936001,0.608611398,-0.025858333,-660.713522
-0.025883333,0.622376263,0.57004617,0.604481938,-0.025852083,-605.6540618
-0.025877083,0.614805587,0.571428467,0.6006966,-0.025845833,-495.5351415
-0.025870833,0.618590925,0.574538636,0.597599506,-0.025839583,-605.6540618
-0.025864583,0.611020249,0.576957657,0.593814168,-0.025833333,-550.5946017
-0.025858333,0.611020249,0.579376677,0.590372952,-0.025827083,-605.6540618
-0.025852083,0.603449573,0.582486846,0.586587614,-0.025820833,-550.5946017
-0.025845833,0.599664236,0.584214717,0.583146398,-0.025814583,-495.5351415
-0.025839583,0.599664236,0.58767046,0.580049303,-0.025808333,-605.6540618
-0.025833333,0.595878898,0.589743906,0.576263965,-0.025802083,-605.6540618
-0.025827083,0.588308222,0.591817352,0.572478627,-0.025795833,-495.5351415
-0.025820833,0.584522884,0.594236372,0.569381532,-0.025789583,-550.5946017
-0.025814583,0.580737546,0.597000967,0.565940316,-0.025783333,-605.6540618
-0.025808333,0.580737546,0.599419987,0.562154978,-0.025777083,-605.6540618
-0.025802083,0.576952208,0.601839007,0.55836964,-0.025770833,-605.6540618
-0.025795833,0.57316687,0.604603602,0.554584303,-0.025764583,-660.713522
-0.025789583,0.569381532,0.606331473,0.550454843,-0.025758333,-605.6540618
-0.025783333,0.565596195,0.609441642,0.546669505,-0.025752083,-660.713522
-0.025777083,0.565596195,0.612206237,0.542540046,-0.025745833,-715.7729822
-0.025770833,0.558025519,0.614279682,0.538066465,-0.025739583,-660.713522
-0.025764583,0.554240181,0.617389851,0.533937005,-0.025733333,-660.713522
-0.025758333,0.554240181,0.619808872,0.529807545,-0.025727083,-770.8324423
-0.025752083,0.546669505,0.621536743,0.524989843,-0.025720833,-660.713522
-0.025745833,0.539098829,0.624992486,0.520860383,-0.025714583,-605.6540618
-0.025739583,0.539098829,0.626720358,0.517075045,-0.025708333,-660.713522
-0.025733333,0.535313491,0.629484952,0.512945586,-0.025702083,-715.7729822
-0.025727083,0.527742816,0.631903973,0.508472005,-0.025695833,-605.6540618
-0.025720833,0.527742816,0.633631844,0.504686667,-0.025689583,-715.7729822
-0.025714583,0.52017214,0.636742013,0.500213086,-0.025683333,-660.713522
-0.025708333,0.516386802,0.639161033,0.496083626,-0.025677083,-605.6540618
-0.025702083,0.512601464,0.641925628,0.492298288,-0.025670833,-660.713522
-0.025695833,0.508816126,0.644690222,0.488168829,-0.025664583,-660.713522
-0.025689583,0.501245451,0.647109242,0.484039369,-0.025658333,-605.6540618
-0.025683333,0.501245451,0.649182688,0.480254031,-0.025652083,-660.713522
-0.025677083,0.497460113,0.651947283,0.476124572,-0.025645833,-715.7729822
-0.025670833,0.493674775,0.654020729,0.471650991,-0.025639583,-715.7729822
-0.025664583,0.486104099,0.656785323,0.46717741,-0.025633333,-605.6540618
-0.025658333,0.486104099,0.659895492,0.463392072,-0.025627083,-660.713522
-0.025652083,0.478533423,0.661968938,0.459262612,-0.025620833,-660.713522
-0.025645833,0.474748085,0.664733532,0.455133153,-0.025614583,-660.713522
-0.025639583,0.474748085,0.667498127,0.451003693,-0.025608333,-715.7729822
-0.025633333,0.46717741,0.669571573,0.446530112,-0.025602083,-660.713522
-0.025627083,0.463392072,0.672681742,0.442400652,-0.025595833,-660.713522
-0.025620833,0.459606734,0.675446336,0.438271193,-0.025589583,-660.713522
-0.025614583,0.455821396,0.677174208,0.434141733,-0.025583333,-660.713522
-0.025608333,0.44825072,0.680284377,0.430012274,-0.025577083,-605.6540618
-0.025602083,0.444465382,0.682012248,0.426226936,-0.025570833,-605.6540618
-0.025595833,0.444465382,0.684431268,0.422441598,-0.025564583,-715.7729822
-0.025589583,0.440680044,0.687195863,0.417968017,-0.025558333,-715.7729822
-0.025583333,0.433109369,0.689269309,0.413494436,-0.025552083,-660.713522
-0.025577083,0.429324031,0.692033903,0.409364976,-0.025545833,-715.7729822
-0.025570833,0.425538693,0.694452923,0.404891395,-0.025539583,-715.7729822
-0.025564583,0.421753355,0.696526369,0.400417814,-0.025533333,-715.7729822
-0.025558333,0.417968017,0.699636538,0.395944233,-0.025527083,-715.7729822
-0.025552083,0.414182679,0.702055558,0.391470652,-0.025520833,-715.7729822
-0.025545833,0.410397341,0.704820153,0.386997071,-0.025514583,-715.7729822
-0.025539583,0.406612003,0.707239173,0.38252349,-0.025508333,-715.7729822
-0.025533333,0.402826665,0.709312619,0.378049908,-0.025502083,-715.7729822
-0.025527083,0.39525599,0.712422788,0.373576327,-0.025495833,-660.713522
-0.025520833,0.391470652,0.715187382,0.369446868,-0.025489583,-660.713522
-0.025514583,0.387685314,0.717260828,0.365317408,-0.025483333,-715.7729822
-0.025508333,0.380114638,0.719679848,0.360843827,-0.025477083,-660.713522
-0.025502083,0.3763293,0.722098869,0.356714368,-0.025470833,-605.6540618
-0.025495833,0.372543962,0.724517889,0.35292903,-0.025464583,-660.713522
-0.025489583,0.368758624,0.727282483,0.34879957,-0.025458333,-605.6540618
-0.025483333,0.364973287,0.729355929,0.345014232,-0.025452083,-660.713522
-0.025477083,0.361187949,0.731429375,0.340884773,-0.025445833,-660.713522
